age_group,abs_est,abs_lower,abs_upper,prc_est,prc_lower,prc_upper,rate_est,rate_lower,rate_upper
0-5,-1958,-2315,-1601,-6.3,-7.4,-5.1,-32,-38,-26
6-10,-116,-200,-32,-4.7,-8.1,-1.3,-2,-4,-1
11-19,345,186,504,5.1,2.8,7.5,4,2,5
20-29,3692,3479,3905,28.3,26.6,29.9,36,34,38
30-39,10373,10071,10675,44.5,43.2,45.8,109,105,112
40-49,24971,24482,25460,47.6,46.7,48.6,292,286,298
50-59,47327,46555,48099,45.5,44.7,46.2,710,698,722
60-69,79376,78402,80350,51.3,50.6,51.9,1779,1757,1800
70+,134294,131430,137158,24.2,23.6,24.7,3704,3625,3783
all,298289,294235,302343,31.6,31.2,32.0,463,457,469
